zone,block,test_start,test_end,season,ar_nrmse
Z3,1,2012-07-01,2012-07-30,겨울,47.55
Z3,2,2012-07-31,2012-08-29,겨울,55.78
Z3,3,2012-08-30,2012-09-28,봄,46.1
Z3,4,2012-09-29,2012-10-28,봄,77.84
Z3,5,2012-10-29,2012-11-27,봄,62.08
Z3,6,2012-11-28,2012-12-27,여름,54.48
Z3,7,2012-12-28,2013-01-26,여름,30.19
Z3,8,2013-01-27,2013-02-25,여름,53.73
Z3,9,2013-02-26,2013-03-27,가을,40.79
Z3,10,2013-03-28,2013-04-26,가을,56.75
Z3,11,2013-04-27,2013-05-26,가을,46.77
Z3,12,2013-05-27,2013-06-25,겨울,83.03
Z3,13,2013-06-26,2013-07-25,겨울,59.52
Z3,14,2013-07-26,2013-08-24,겨울,69.07
Z3,15,2013-08-25,2013-09-23,봄,51.49
Z3,16,2013-09-24,2013-10-23,봄,94.56
Z3,17,2013-10-24,2013-11-22,봄,49.4
Z3,18,2013-11-23,2013-12-22,여름,36.11
Z3,19,2013-12-23,2014-01-21,여름,42.08
Z3,20,2014-01-22,2014-02-20,여름,39.85
Z3,21,2014-02-21,2014-03-22,가을,53.8
Z3,22,2014-03-23,2014-04-21,가을,74.07
Z3,23,2014-04-22,2014-05-21,가을,51.27
Z3,24,2014-05-22,2014-06-20,겨울,63.61
